user_id,user_name,password,phone_number,social_media_address,domicile_address,city_id
80001,Hj. Hana Kusmawati,yZ%#9%Mz,(0306) 268 6368,instagram.com/hj_hana_kusmawati,"Gg. BKR No. 77
Batam, KI 36095",60033
80002,Bakidin Wastuti,V@25mpHi,087 121 8010,instagram.com/bakidin_wastuti,"Jalan Dipenogoro No. 903
Balikpapan, Sumatera Utara 62467",60032
80003,"R.M. Taufik Maryadi, S.Gz",zl%*L3Ub,+62-0674-656-4129,instagram.com/rm_taufik_maryadi_sgz,"Gg. Jamika No. 174
Langsa, RI 94571",60011
80004,"Puti Tira Namaga, S.Sos",qS*!7hUv,+62-0300-817-3729,instagram.com/puti_tira_namaga_ssos,"Gg. KH Amin Jasuta No. 83
Batam, Sulawesi Selatan 01504",60024
80005,"Drs. Ika Nurdiyanti, S.H.",@)AiL1Qb,084 092 5554,instagram.com/drs_ika_nurdiyanti_sh,"Jl. Wonoayu No. 292
Sungai Penuh, JK 08211",60036
80006,"R.A. Shania Rahmawati, S.Farm",)iz1t3Vz,084 207 3965,instagram.com/ra_shania_rahmawati_sfarm,"Jl. Rajiman No. 11
Tasikmalaya, Sulawesi Tengah 81256",60012
80007,Tgk. Mila Lailasari,_U0X7nfG,(0472) 745-5966,instagram.com/tgk_mila_lailasari,"Jl. Dipenogoro No. 6
Pontianak, Maluku Utara 43912",60029
80008,"Maras Tamba, S.Pt",%5rW&dBb,(084) 933 6348,instagram.com/maras_tamba_spt,"Gang S. Parman No. 00
Bontang, BB 22177",60035
80009,Rahmi Latupono,*2BdaAjb,+62 (82) 988-8754,instagram.com/rahmi_latupono,"Jalan Cihampelas No. 553
Pekalongan, Sumatera Barat 45319",60001
80010,Rini Usamah,_1)Vltwc,(047) 803-4710,instagram.com/rini_usamah,"Jalan Pelajar Pejuang No. 85
Subulussalam, Nusa Tenggara Barat 60684",60001
80011,Zulfa Nainggolan,L*^5YNgv,+62-914-032-9259,instagram.com/zulfa_nainggolan,"Gg. Ciwastra No. 60
Kediri, Kalimantan Barat 58127",60037
80012,Agus Saputra,@&*%I2Ns,+62 (0000) 924 3675,instagram.com/agus_saputra,"Gang Tebet Barat Dalam No. 400
Magelang, Kalimantan Barat 39830",60006
80013,Nrima Prasetya,+4Cl!ym^,+62 (196) 102-0984,instagram.com/nrima_prasetya,"Gang Sentot Alibasa No. 10
Mataram, Kalimantan Barat 36903",60039
80014,Wulan Narpati,+v50LJel,+62 (363) 522-7299,instagram.com/wulan_narpati,"Jalan Jakarta No. 6
Palembang, KT 12904",60018
80015,Maria Halim,CV%4Ru_),086 930 0690,instagram.com/maria_halim,"Gg. Jend. Sudirman No. 48
Madiun, Sulawesi Selatan 71495",60016
80016,Purwa Maulana,p^Hd6Vbu,+62 (81) 645 9305,instagram.com/purwa_maulana,"Gang Rungkut Industri No. 0
Sukabumi, SS 64600",60005
80017,"R.A. Aurora Pertiwi, M.Pd",Z$7!UsKl,+62 (54) 779 5417,instagram.com/ra_aurora_pertiwi_mpd,"Jalan Astana Anyar No. 68
Purwokerto, SU 87929",60032
80018,Hj. Belinda Dongoran,+@81JTxw,+62 (18) 486-9762,instagram.com/hj_belinda_dongoran,"Gg. Bangka Raya No. 312
Sorong, Jawa Barat 57274",60002
80019,Makara Nainggolan,n*M3(yJa,(021) 912-7416,instagram.com/makara_nainggolan,"Jl. Siliwangi No. 4
Prabumulih, GO 28221",60002
80020,Ir. Devi Wijaya,y(r6IuVH,+62 (0415) 881 0090,instagram.com/ir_devi_wijaya,"Jl. Rajiman No. 19
Bogor, SG 94145",60040
80021,Hairyanto Latupono,k)1Bcu0I,+62 (16) 670 5216,instagram.com/hairyanto_latupono,"Jalan Rumah Sakit No. 191
Surabaya, Maluku 20766",60036
80022,Luluh Damanik,jk&F8Mdx,+62-0036-009-6284,instagram.com/luluh_damanik,"Gang Rajiman No. 76
Pagaralam, Kalimantan Tengah 34127",60039
80023,Yono Nashiruddin,_OP7wX_n,(068) 078-2823,instagram.com/yono_nashiruddin,"Gang Sadang Serang No. 272
Jayapura, SB 18997",60012
80024,"Dewi Kuswandari, S.Kom",c&0QcE(!,+62 (19) 744-4360,instagram.com/dewi_kuswandari_skom,"Gg. Jamika No. 51
Metro, MU 45034",60019
80025,"Wirda Halim, S.Ked",GC&7_W_k,+62-081-042-2821,instagram.com/wirda_halim_sked,"Gg. Moch. Toha No. 841
Metro, DKI Jakarta 77220",60028
80026,dr. Lukman Januar,&6ZvVpG5,+62 (052) 591 1534,instagram.com/dr_lukman_januar,"Gg. Rungkut Industri No. 419
Jambi, Maluku 28745",60001
80027,"Tgk. Betania Prasetya, S.Pt",A&q+2rHt,(0577) 881 1576,instagram.com/tgk_betania_prasetya_spt,"Jalan Jamika No. 1
Subulussalam, Sumatera Utara 71586",60015
80028,"Gada Tampubolon, S.Farm",$^94%B4b,(087) 868 1326,instagram.com/gada_tampubolon_sfarm,"Jl. Sentot Alibasa No. 733
Blitar, ST 15315",60036
80029,Aswani Mardhiyah,BLC)1FZk,085 212 2069,instagram.com/aswani_mardhiyah,"Gg. Kapten Muslihat No. 59
Pekalongan, Kepulauan Riau 09924",60013
80030,Azalea Riyanti,v^3B$ljM,+62 (018) 494-5769,instagram.com/azalea_riyanti,"Gang Jend. Sudirman No. 078
Padangpanjang, Maluku Utara 35728",60021
80031,Naradi Wijaya,m$rH7Tco,+62 (978) 538 0655,instagram.com/naradi_wijaya,"Jl. Ciwastra No. 0
Tual, Jambi 54310",60012
80032,Elon Tamba,k(4TMYr@,080 391 7156,instagram.com/elon_tamba,"Gang Suryakencana No. 9
Padangpanjang, Kalimantan Tengah 09390",60005
80033,"Nadine Purnawati, S.E.",!$J4XvxT,+62-0808-810-9505,instagram.com/nadine_purnawati_se,"Jalan Kiaracondong No. 925
Kupang, ST 86754",60007
80034,"Samiah Putra, S.Gz",9$5UCVp),+62 (54) 776-0375,instagram.com/samiah_putra_sgz,"Gang Otto Iskandardinata No. 64
Jambi, SG 66227",60005
80035,"Ir. Capa Marpaung, S.Psi",*9)5GY)w,+62 (07) 826-4973,instagram.com/ir_capa_marpaung_spsi,"Jl. Pasteur No. 8
Semarang, Kalimantan Barat 17362",60004
80036,T. Banara Riyanti,T0*4gAh^,+62-79-929-7595,instagram.com/t_banara_riyanti,"Jl. Dipenogoro No. 2
Salatiga, Kalimantan Tengah 51167",60013
80037,Salwa Natsir,%f6DBga7,(092) 866-3564,instagram.com/salwa_natsir,"Jl. Kutisari Selatan No. 7
Bengkulu, Jawa Barat 13224",60037
80038,Jarwi Zulaika,)E8%5BxC,+62-0343-895-7395,instagram.com/jarwi_zulaika,"Gg. Sadang Serang No. 1
Mojokerto, AC 35635",60015
80039,Qori Melani,$7CzhGNe,+62 (53) 248 2891,instagram.com/qori_melani,"Jalan Ronggowarsito No. 7
Kota Administrasi Jakarta Barat, PB 55218",60016
80040,Sadina Tamba,&2Aq_Com,(0732) 959 3187,instagram.com/sadina_tamba,"Jl. Ir. H. Djuanda No. 8
Tangerang Selatan, SG 64740",60021
80041,Zalindra Wahyuni,&9X#DDFt,+62-464-835-6500,instagram.com/zalindra_wahyuni,"Jalan Gegerkalong Hilir No. 54
Pasuruan, ST 95260",60036
80042,Eva Purwanti,%0hC2vOh,+62-392-871-4847,instagram.com/eva_purwanti,"Jl. Veteran No. 7
Padangpanjang, NB 85921",60024
80043,"Amalia Haryanti, S.Pt",O@g+1Ml9,(056) 010-5249,instagram.com/amalia_haryanti_spt,"Jl. Ronggowarsito No. 3
Metro, Nusa Tenggara Barat 59478",60016
80044,Ulya Gunawan,$v1bSk0q,0874867531,instagram.com/ulya_gunawan,"Gang Merdeka No. 7
Pematangsiantar, Riau 39542",60014
80045,T. Cahya Permadi,j_z4K$)p,+62 (018) 098 5919,instagram.com/t_cahya_permadi,"Jl. Setiabudhi No. 6
Langsa, Kepulauan Bangka Belitung 60126",60022
80046,"drg. Garan Suryatmi, S.Pd",(%ZU6IfG,+62-0001-419-6299,instagram.com/drg_garan_suryatmi_spd,"Jl. Jayawijaya No. 357
Yogyakarta, JI 99907",60006
80047,"Gatot Rahayu, M.Ak",^_!3kdWz,083 442 2932,instagram.com/gatot_rahayu_mak,"Gg. Ciumbuleuit No. 093
Payakumbuh, KS 99125",60036
80048,Nasrullah Saragih,c!Y5g6Qf,+62 (34) 742 9431,instagram.com/nasrullah_saragih,"Jalan Indragiri No. 09
Manado, DI Yogyakarta 45149",60001
80049,Ulva Agustina,l+1K7Qz8,+62 (62) 390 5872,instagram.com/ulva_agustina,"Jl. H.J Maemunah No. 6
Palangkaraya, Kalimantan Timur 97402",60032
80050,"Hj. Cindy Adriansyah, M.Ak",6i!j7Ary,+62 (0194) 930 2390,instagram.com/hj_cindy_adriansyah_mak,"Jl. Dipatiukur No. 669
Tegal, KI 00664",60006
80051,Nalar Sitorus,^_&qE0Mp,(022) 780-8532,instagram.com/nalar_sitorus,"Gg. Medokan Ayu No. 83
Serang, Kalimantan Utara 67803",60031
80052,Digdaya Prasetyo,#_4P0Nve,(0573) 431 5745,instagram.com/digdaya_prasetyo,"Jl. Lembong No. 314
Magelang, MA 29640",60001
80053,"Ikin Waluyo, M.Farm",)71CeCQr,0894348612,instagram.com/ikin_waluyo_mfarm,"Jalan Sukabumi No. 662
Solok, PA 98338",60037
80054,"drg. Ami Wacana, M.Farm",@3L+CUzT,(019) 182 7264,instagram.com/drg_ami_wacana_mfarm,"Jl. R.E Martadinata No. 224
Lubuklinggau, JA 98928",60035
80055,Vera Wijayanti,)F5SZou1,0832147568,instagram.com/vera_wijayanti,"Gg. HOS. Cokroaminoto No. 837
Padangpanjang, BE 94351",60030
80056,"Aurora Marbun, M.M.",!ktWk6Ub,+62-056-682-8920,instagram.com/aurora_marbun_mm,"Gang Cikutra Barat No. 15
Depok, NB 33361",60004
80057,Eka Manullang,)9YI#i2G,+62 (0978) 963-7361,instagram.com/eka_manullang,"Gang Astana Anyar No. 0
Tangerang Selatan, JA 38411",60035
80058,Paris Laksita,&9khWNuR,+62 (086) 187-2033,instagram.com/paris_laksita,"Jl. Gedebage Selatan No. 42
Kupang, KU 17356",60014
80059,Drs. Perkasa Adriansyah,@#5L9dF+,+62-0196-618-3833,instagram.com/drs_perkasa_adriansyah,"Jl. Rawamangun No. 5
Batam, SG 75947",60040
80060,Jumari Simbolon,*8654Bhq,(0131) 829-3898,instagram.com/jumari_simbolon,"Gg. Cikutra Timur No. 92
Tual, Jambi 34169",60022
80061,Zalindra Hastuti,j((0bBbK,(096) 479-0553,instagram.com/zalindra_hastuti,"Gg. Tubagus Ismail No. 5
Kota Administrasi Jakarta Barat, JI 18924",60010
80062,Rusman Agustina,a@JK2NsZ,+62-037-383-0237,instagram.com/rusman_agustina,"Gg. Jakarta No. 9
Makassar, KB 52185",60001
80063,Kuncara Usada,(0TXqGtR,(0194) 465-4191,instagram.com/kuncara_usada,"Gg. M.T Haryono No. 7
Magelang, DKI Jakarta 06485",60011
80064,Raihan Mustofa,+D7VzTPo,(0599) 132-6307,instagram.com/raihan_mustofa,"Jalan Cihampelas No. 017
Tual, Nusa Tenggara Barat 70553",60024
80065,Himawan Wastuti,$4F9Jx7f,+62 (0285) 218-5515,instagram.com/himawan_wastuti,"Gang Kiaracondong No. 698
Padang, BA 50621",60003
80066,Iriana Adriansyah,&e9MSS0o,+62-348-666-0271,instagram.com/iriana_adriansyah,"Jalan Suryakencana No. 39
Tual, Kalimantan Timur 54017",60035
80067,Aditya Adriansyah,fC^x9Xjs,+62 (0283) 975-2929,instagram.com/aditya_adriansyah,"Jl. Cihampelas No. 202
Bekasi, PA 33744",60036
80068,"Hj. Paris Suryatmi, S.IP",w$6Lmc+!,(043) 122-7862,instagram.com/hj_paris_suryatmi_sip,"Jalan Pacuan Kuda No. 331
Bima, BT 99677",60031
80069,Banara Sudiati,!&1Z(LVb,+62-047-915-1173,instagram.com/banara_sudiati,"Jalan Gegerkalong Hilir No. 4
Tangerang, RI 79936",60004
80070,"Dalimin Sihombing, S.T.",(r2X3eAu,080 091 7494,instagram.com/dalimin_sihombing_st,"Gg. Joyoboyo No. 4
Palopo, ST 94516",60019
80071,"Elvina Januar, M.Kom.",H5&#17Us,0862319827,instagram.com/elvina_januar_mkom,"Gg. Kutai No. 839
Banda Aceh, BA 71807",60036
80072,"drg. Sari Hutapea, S.Ked",A$t8LNTf,+62-0032-922-9921,instagram.com/drg_sari_hutapea_sked,"Gang Kiaracondong No. 6
Pariaman, Maluku 09994",60021
80073,Mila Latupono,@4pm_E!l,+62 (041) 497-9496,instagram.com/mila_latupono,"Jl. Sukajadi No. 45
Solok, Kalimantan Timur 87747",60018
